DATE,XUDLUSS,XUDLERS,XUDLJYS,XUDLADS,XUDLCDS,XUDLSFS
27 Apr 2026,1.3556,1.155,215.8307,1.8845,1.8455,1.0631
28 Apr 2026,1.3498,1.1535,215.5888,1.883,1.8477,1.066
29 Apr 2026,1.3501,1.1539,216.1658,1.8906,1.8467,1.0662
30 Apr 2026,1.3582,1.1582,212.8174,1.8895,1.8488,1.0624
01 May 2026,1.3624,1.1577,213.3995,1.8878,1.8493,1.0611
05 May 2026,1.3565,1.1588,213.8918,1.887,1.8471,1.0603
06 May 2026,1.3603,1.1573,212.6023,1.8789,1.8523,1.0598
07 May 2026,1.3631,1.1575,212.9834,1.8779,1.8586,1.0587
