location_id,outlet_code,location_name,region,kiosk_count,location_live_date,kiosk_id,kiosk_serial_number,kiosk_hardware_model,assigned_at,unassigned_at,is_currently_assigned
0e37fb26-5746-4040-9eca-3498274ff20b,P9,Park Inn by Radisson Cardiff City Centre,United Kingdom,2,2024-12-16 00:00:00,0ad3578a-c1d2-4663-825f-273ef50f5dad,WKG-POS-126,,2026-04-18 12:42:32.532092+00,,TRUE
c0f59e9d-8688-4ff0-8f86-8d2e05f023e1,Q4,Radisson Blu Hotel Sheffield,United Kingdom,2,2024-09-17 09:57:00,f5442431-a790-445b-b8b7-a3a799eaac58,WKG-POS-0183,,2026-04-18 12:41:56.807685+00,,TRUE
c0f59e9d-8688-4ff0-8f86-8d2e05f023e1,Q4,Radisson Blu Hotel Sheffield,United Kingdom,2,2024-09-17 09:57:00,a3a0f799-d0d1-4ee7-a0cb-7de1a410ccbb,WKG-POS-119,KONG Self-Stadning,2026-04-18 12:44:47.281515+00,,TRUE
0d0ae30c-64cb-4a8d-b0d2-fb645e48bb85,S0,Clayton Hotel Bristol,United Kingdom,2,2025-07-31 00:00:00,634becd9-b6fd-4aa0-b9e9-1013bf3398a2,TMP_config_holder,,2026-04-18 12:37:01.544266+00,,TRUE
0d0ae30c-64cb-4a8d-b0d2-fb645e48bb85,S0,Clayton Hotel Bristol,United Kingdom,2,2025-07-31 00:00:00,04a3783d-7120-46d8-b2db-771066051c85,WKG-POS-054,,2026-04-18 12:40:22.36369+00,,TRUE
01a44f94-fb73-4034-aedd-067d0a2d7895,S5,NH Eurobuilding,Spain,2,2023-08-31 09:36:00,89c94520-9a89-4a1b-99c5-8dbc6ea727f5,WKG-POS-286,,2026-04-18 12:40:08.667099+00,,TRUE
01a44f94-fb73-4034-aedd-067d0a2d7895,S5,NH Eurobuilding,Spain,2,2023-08-31 09:36:00,97420c22-cdc4-4d18-ba4a-046b4100d83e,WKGSBSKYLINE2,Wall Mounted,2026-04-18 12:44:37.038911+00,,TRUE
4d1ab4c5-7b20-45a7-9bde-1d555f519c6a,S6,Spark by Hilton,Spain,2,2023-08-31 09:36:00,05edeb17-b50e-46b1-9983-6db27935353d,WKG-POS-287,,2026-04-18 12:40:20.521335+00,,TRUE
4d1ab4c5-7b20-45a7-9bde-1d555f519c6a,S6,Spark by Hilton,Spain,2,2023-08-31 09:36:00,d7688867-bf54-4d2e-9846-9b753aaebfa3,WKGSBMARLHR3,Wall Mounted,2026-04-18 12:44:31.925438+00,,TRUE
1abfdb5a-42f1-4a2c-b36d-df1c068f9e70,S7,IBIS Madrid Aeropuerto Barajas,Spain,2,2023-08-31 00:00:00,29ac331a-e40b-4936-87f0-e31f0bd7dd10,WKG-POS-30,Wall Mounted,2026-04-18 12:44:16.972734+00,,TRUE
1abfdb5a-42f1-4a2c-b36d-df1c068f9e70,S7,IBIS Madrid Aeropuerto Barajas,Spain,2,2023-08-31 00:00:00,91786ce0-d044-4c8e-bb94-72c42f8219a4,WKG-POS-299,,2026-04-18 12:46:32.501839+00,,TRUE
1cec49f0-a771-406e-ad94-e3259e00ab62,S8,Holiday Inn London - Heathrow Bath Road,United Kingdom,2,2025-09-16 00:00:00,c4d8db1c-93ac-4b22-9aaf-c86095a357ca,WKG-POS-242,,2026-04-18 12:39:53.98832+00,,TRUE
1cec49f0-a771-406e-ad94-e3259e00ab62,S8,Holiday Inn London - Heathrow Bath Road,United Kingdom,2,2025-09-16 00:00:00,18015f05-bdf5-4ed4-887e-515417dd0b34,WKG-POS-289,,2026-04-18 12:40:18.761063+00,,TRUE
8c4f153f-6d02-41f3-9318-9419f9401ca5,S9,IBIS Budget Madrid Aeropuerto,Spain,2,2024-08-08 09:50:00,2edb8ce2-b764-409d-a9ab-90408a13ca4b,WKG-POS-18-02,WKG Desktop,2026-04-18 12:44:30.206848+00,,TRUE
8c4f153f-6d02-41f3-9318-9419f9401ca5,S9,IBIS Budget Madrid Aeropuerto,Spain,2,2024-08-08 09:50:00,37bb987d-e386-43f6-a6e2-764e7214a664,WKG-POS-290,,2026-04-18 12:46:35.13556+00,,TRUE
